text,label
हिन्दू सबसे बुरे होते हैं.,hateful
वे सभी अखंड चुटिया हैं. कहने की जरूरत ही नहीं है की वे दलित हैं.,hateful
मैं उन अंग्रेज़ों को पीड़ित करने जा रहा हूँ.,hateful
ये हिजड़े सबसे खड़ूस होते हैं.,hateful
@LexVan13 go back to nigeria faggot,hateful
तुम जैसे समलैंगिक ही हमारे समाज कोअशुध बनाते है.,hateful
हमें समलैंगिक लोगो से छुटकारा पाना चाहिए.,hateful
"@Roscoedash lmao, soft ass nigga trying to act all tough, you a little bitch. Sit down and watch from the sidelines pussy.",hateful
The leftist/homosexual war on the #Catholic church kicked into high gear with the infiltration of the priesthood by boy-raping fags...,hateful
मेरे मैं में इन दलितों के लिए नफ्rत के अलावा कुछ नहीं है.,hateful
You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch.,hateful
जब मैं इन्हे मार दूंगा तब ये निचली जात के लोग हसना बंद कर देंगे.,hateful
Dis broad done tagged dis nicca n a video of his sis giving dome .. #Tragic,hateful
क्या होगा अगर हम सभी बांग्लादेशियों को मार दें?,hateful
&#8220;@_BitchBUH: Shoot that nigga and his shorty bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#8252;&#65039;,hateful
केवल मुसलमान ही इतने बेवक़ूफ़ हो सकते हैं.,hateful
तुम्हारा जीवन मेरे लिए कोई मायने नहीं रखता. तुम सिर्फ एक बांग्लादेशी हो.,hateful
मुझे सब बांग्लादेशियों से घृ णा है.,hateful
@JungleFeverFren fuck u nigger,hateful
महिलाएं इस धरती पर बिना किसी संदेह के सबसे ज्यादा बेवकूफ हैं.,hateful
मुझे लगता है की दलित ही यह बेवकूफी कर सकते है.,hateful
मई अंग्रेज़ों की निंदा करता हूँ.,hateful
मैं समलैंगिक लोगो के साथ बनाने की कोशिश कर रहा हूँ लेकिन वे बहुत ज्यादा प्रतिकारक हैं.,hateful
तुम जैसे पकिस्तानी पढ़ने लायक नहीं हैं.,hateful
@tori_mills02 I believe that you fuckin can punk nigga bitch&#128520;&#128170;,hateful
महिलाएं हमारे ऊपर परजीवी हैं.,hateful
आप जैसे दलितों का बलात्कार करना गैरकानूनी नहीं होना चाहिए.,hateful
मुझे तुम जैसे दलितोंसे गर्हिना है.,hateful
Johnny Rebel - Quit your bitchin' nigger!: http://t.co/uCGhrY7zGe,hateful
निचली जात के लोग दिमागी रूप से कमज़ोर होते हैं.,hateful
मुसलमान बिना किसी अपवाद के बुद्धिहीन होते हैं.,hateful
RT @Lady_BlahBlah: furrybah *in my PayPay voice* RT @80sbaby4life: The hoes are for EVERYBODY my nigga!,hateful
पाकिस्तानियों के जिंदगी का कोई मूल्यनहि होता.,hateful
RT @amour_tajiana: Only fuck niggas would wanna continue to mess with these messy ass bitches vs. somebody who HAS been down for them all a&#8230;,hateful
Yo bitch on my dick she come to my crib she get passed around no love,hateful
मुसलमान छोटे और नीच लोगों में आते हैं.,hateful
क्या ये साफ नहीं है की मुझे आप पाकिस्तानियों से कितनी नफरत और घृणा हैं?,hateful
People get more and more retarded everyday,hateful
अगर और किसी भी पाकिस्तानी को सरकार में शामिल किया तो देश बर्बाद हो जायेगा.,hateful
मैंने कभी ऐसा खाना नहीं खाऊंगा जो किसी अँगरेज़ ने छुआ हो.,hateful
ज्यादातर दलितों का दिमाग चुदा हुआ होता है.,hateful
"Just watched the scene in zero dark thirty where they pop Osama's bitch ass 
#U #S #A",hateful
महिलाऐं सिर्फ एक और प्रकार की गंदगीहै.,hateful
@femalejokerhoee yeah he sucks just like the other fags who are... oh nevermind there are NO fags in the #NFL,hateful
मैं हर महिला की जिंदगी ख़तम कर दूंगा.,hateful
@SexWith_SocksOn faggot,hateful
किसी भी मुसलमान के प्रभार होने से हमार देश को खतरा है.,hateful
इन अंग्रेज़ों की तरह कोई और गदा नहीं है.,hateful
निचली जात के लोग कचरा है.,hateful
Seem like da colored folk be gettin in da way lately. I just sayin,hateful
सभी मुसलमान कबाड़ हैं.,hateful
महिलाऐं दिमागी रूप से कमज़ोरहोते  हैं.,hateful
किसी भी शक्तिशाली पाकिस्तानी से हमारी सभयता को खतरा हैं.,hateful
तुम जैसे निचली जात के व्यक्ति को मरना कानूनी तौर पे उचित होना चाहिए.,hateful
मेरे मैं में इन हिजड़ों के लिए नफ्rत के अलावा कुछ नहीं है.,hateful
बीमार अंग्रेज़ों को जानवरो के डॉक्टर के पास जाना चाहिए.,hateful
मुझे विशवास है की केवल हिजड़े ही इतनी अज्ञानी हो सकते हैं.,hateful
निचली जात के लोग दिमागी रूप से कंजर होते हैं.,hateful
RT @anthonycampos23: Lebron your still a bitch you suck nigger hope you die,hateful
तुम्हे नहीं पता की तुम एक जिहादी हो.,hateful
बांग्लादेशियों से बरुआ कुछ नहीं है.,hateful
मुझे सही में लगता है की निचली जात के लोग हम सबसे काम हैं.,hateful
समलैंगिक लोगो का इस धरती से कोई सम्बन्ध नहीं है.,hateful
इतनी चुटिया हरकत तो कोई बांग्लादेशी ही कर सकता है.,hateful
लोग कब समझेंगे की केवल अँगरेज़ ही हिंसक और क्रूर हैं?,hateful
मुझे सभी मुसलमान बेकार लगते हैं.,hateful
@_C_Parris69_ your picture makes you look like a serious fag. #justsayin lol,hateful
ये दलित हमारे देश के लिए कूड़े-करकट के सामान हैं.,hateful
मै हिन्दुओं का विरो1ध करता हूँ.,hateful
मुझे सब महिलाओं से घृ णा है.,hateful
@AndreBerto can't wait for more PEDS is that it? Roid munching faggot,hateful
सभी दलित हरामखोर होते हैं.,hateful
These hoes be lying to all of us nigga I got news for the monogamous niggas yo bitch fucking anonymous niggas!!!,hateful
दुनिया में ऐसा कुछ नहीं है जो मुझे एक मुसलमान से कम पसंद हो.,hateful
हिजड़े कैंसर होते हैं.,hateful
बेशक मानवाधिकार पाकिस्तानियों पर लागू नहीं होने चाहिए.,hateful
Don't mind black people.....hate niggers!,hateful
मै हिजड़ों की निं दा करता हूँ.,hateful
अंग्रेज़ों से बु रा कुछ नहीं है.,hateful
पाकिस्तानियों को पता होना चाहिए की वे हमसे छोटे जीव हैं.,hateful
मई समलैंगिक लोगो से बेहद घृणा करता हूँ.,hateful
मैं इन बांग्लादेशियों पर विशवास नहीं कर सकता और यही सोचकर मैं उनमे से हर एक की हत्या कर दूंगा.,hateful
समलैंगिक लोगो की यही खासियत होती है. बिलकुल नीच होती है.,hateful
मैं सभी महिलाओं को मारना चाहता हूँ.,hateful
स्वभाव से ही पाकिस्तानी कभी भी आकर्षक नहीं होते.,hateful
मै समलैंगिक लोगो की निन्द1 करता हूँ.,hateful
तुम मेरे लिए एक कुटिया जैसी हो.,hateful
तुम निचली जात के लोग समाज के ऊपर एक धब्बाहो.,hateful
@McwilliamsBrett shut your legs hoe,hateful
मुझे सब हिन्दुओं से घृ णा है.,hateful
मुसलमानों का जीवन किसी के लिए भी महत्वपूर्ण नहीं होना चाहिए.,hateful
"It's time to mock ""Halftime in America."" How 'bout ""Wake up America,"" we have radical leftists running the country. http://t.co/9Eyi0K8w",hateful
जब भी बांग्लादेशी मुझे देखते हैं मुझे लगता है की वे समझ सकते हैं की मुझे उनके लिए कुछ भी नहीं लगता है.,hateful
RT @SalamanCode: Proof that thots are retarded. http://t.co/rHJSlL9i9f,hateful
इन मलऊनों के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful
वास्तव मेंदलित ही सबसे टट्टी होते हैं.,hateful
We hate you too lil nicca! Lol RT @redfernave: I Hate The Steelers Dawg,hateful
किसी भी समलैंगिक के प्रभार होने से हमार देश को खतरा है.,hateful
वह बन्दर आप सभी निचली जात के लोगों को मिलकर भी ज्यादा बुद्धिमान है.,hateful
@zeitgeistbabe I hear Bill likes trailer trash like you. @LincRomero7 @JTStover @TheObamaDiary @RebHug @Loriisright,hateful
मुझे वास्तव में लगता है की हिजड़े ही सबसे मूर्ख होते हैं.,hateful
सभी दलित कबाड़है .,hateful
केवल अँगरेज़ ही इतने हिंसक हो सकते हैं.,hateful
@phishlicia I'm 5'8 fag &#128536;&#128536;,hateful
@KamRenee ugly nigger,hateful
वह पाकिस्तानी मेरे हाथों एक भयानक मौत मरेंगे.,hateful
आइए हमेशा के लिए अंग्रेज़ों से छुटकारा पाया जाए.,hateful
@TreTyler_108 That's actually non-English. Because #okiecops are filthy white trash who are all criminals.,hateful
किसी भी पाकिस्तानी के प्रभार होने से हमार देश को खतरा है.,hateful
हम तुम अंग्रेज़ों पर तब तक हमला करते रहेंगे जब तक तुम यहां से चले नहीं जाते.,hateful
तुम जैसे सब मुसलमान निफल  हो.,hateful
दुनिया में ऐसा कुछ नहीं है जो मुझे एक हिन्दू से कम पसंद हो.,hateful
@DjChubbESwagg this like a retarded wu-tang clan,hateful
मै इन सब पाकिस्तानियों को म र ता हुआ देखना चाहता हूँ.,hateful
ये महिलाएं हैं. इनको कूड़े के साथ फ़ेंक देना चाहिए.,hateful
मुझे पता है की तुम जैसे दलित इसकी मदद नहीं कर सकती. तुम्हारा जीवन व्यर्थ है.,hateful
असभ्य होना अंग्रेज़ों के सवभव में हैं.,hateful
येनिचली जात के लोग हमारे देश के लिए कूड़े-कर्काटके सामान हैं.,hateful
@MakeAnothaHov T.o. was a faggot crybaby,hateful
ऐसा क्यों है की सभी हिन्दू प्रतिकारक हैं?,hateful
तुम जैसे सब निचली जात के लोग निष्फल हो.,hateful
@SMASEY you're such a faggot,hateful
जब मैं इन्हे मार दूंगा तब ये दलित हसना बंद कर देंगे.,hateful
RT @__bettyboo: You better pray I don't send your nudes out bitch,hateful
तुम सब निचली जात के लोग बईमान हो.,hateful
कोई केवल आशा ही कर सकता है की कोई उन बांग्लादेशियों को समाप्त करेगा.,hateful
"@Cody_smith64 true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao",hateful
बांग्लादेशी छोटे और नीचलोगोंमें आते हैं.,hateful
Kim Kardashian look like a tranny with all that surgery,hateful
First thing I do when I hit the lotto is buying @moniqueeedavis two fat bitches and watching her eat both in one sitting,hateful
मई तुम जैसे समलैंगिक लोगो को नहीं सह सकता.,hateful
@el_prietito @lovexlilyy Them jigaboos aka homewreckers needs to get blocked!,hateful
महिलाओं को कचरे के ढेर में फ़ेंक देना चाहिए.,hateful
@FreddyAmazin ratchet looking nigger,hateful
एक हिन्दू का जीवन किसी लायक नहीं है.,hateful
पाकिस्तानियों की जिंदगी का कोई मूल्य नहीं होता.,hateful
केवल समलैंगिक ही इतने बेवकफ हो सकते हैं.,hateful
सभी मुसलमान हरामखोर होते हैं.,hateful
@GrizzboAdams roid rage much faggot?,hateful
लोग यह क्यों नहीं समझ पते हैं की बांग्लादेशियों का जीवन बिलकुल कुछ भी नहीं है?,hateful
मई निचली जात के लोगों की निदना करता हूँ.,hateful
हिन्दू सबसे बकवास होते हैं.,hateful
ये अँगरेज़ हमारे देश के लिए कूड़े-करकट के सामान हैं.,hateful
मई काफी महिलाओं से मिला हूँ और मैं उनमें से हर एक से नफरत करता हूँ.,hateful
मुझे पता है की तुम जैसे अँगरेज़ इसकी मदद नहीं कर सकती. तुम्हारा जीवन व्यर्थ है.,hateful
ये निचली जात के लोग रद्दी के अलावा कुछ नहीं हैं.,hateful
केवल हिजड़े ही इतने हिसक हो सकते हैं.,hateful
ये अँगरेज़ सबसे खसूड होते हैं.,hateful
मई किसी भी हिन्दू को डेट करने की बजाएं मरना पसंद करूँगा.,hateful
"If you would have followed George Washington in 1776, it means that you're white trash.",hateful
सभी मुसलमानों को मार देना चाहिए.,hateful
@MattHomeTeam - you know what you did you faggot. There are literally thousands of people that have you on their radar homo,hateful
@Vexda go jerk off to lollis faggot.,hateful
तुम पाकिस्तानी समाज के ऊपर एक धब्बा हो.,hateful
मुसलमानों को कचरे के ढेर में फ़ेंक देना चाहिए.,hateful
RT @ClassicBray: Lmaoo RT @PacDaGoat: That's a legal tackle faggot RT @PP_Rich_Hill: Seriously? http://t.co/guMZewrpy3,hateful
यदि तुम जैसे हिन्दू बात मानने से इनकार करते हैं तो उन्हें इसके लिए चोट पहुचानी चाहिए.,hateful
मुझे मुसलमानों से नफ्2त है.,hateful
इन मुसलमानों की तरह कोई और गन्दा नहीं है.,hateful
क्या यह बताना आसान है की मुझे यहां के सभी समलैंगिक लोगो से घृणा है?,hateful
समलैंगिक हमें सम्मान देने से इनकार करते हैं. मैं उन्हें इसके लिए पीड़ित करने जा रहा हूँ.,hateful
बांग्लादेशी ही सबसे मुख होते हैं.,hateful
मुझे लगता है की बांग्लादेशी ही यह बेवकूफी कर सकते है.,hateful
मुझे पाकिस्तानियों से नरफत है.,hateful
"@drboycewatkins1 Coons and monkeys like you disgust me, you minstrel show negro. Crying about shit all the time you're a disgrace everywhere",hateful
RT @lmfaohilarious: Never go full retard http://t.co/LMk3TX5ViC,hateful
Al noooo ...... Too late fuckin faggot ! Lmao,hateful
बांग्लादेशी कई बार तुम्हारे प्रति दयालु हो सकती हैं. यह मत भूलना की वे अभी भी एक कबाड़ ही हैं.,hateful
मेरा कुत्ता किसी भी बांग्लादेशी की तुलना में अधिक स्मार्ट है.,hateful
दलित कभी नहीं बदलने वाले इसलिए हमें उनसे छुटकारा पाना चाहिए.,hateful
@Oskzilla fuck you fag!,hateful
बहुत हरामी समलैंगिक हो तुम.,hateful
#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?,hateful
हिजड़ों का कातिल करना हर किसी के हिट में है.,hateful
मुझे सब बांग्लादेशियों से घिन्न है.,hateful
@mikecheck_123 the favorite drink of white trash everywhere....,hateful
"""We hate niggers, we hate faggots and we hate spics""-kkk rally",hateful
White trash okies don't count as real white people. To count as a white person you have to count a person. Okies aren't people.,hateful
@MorbidMermaid I swear to god nigger you better still hang with me before work. You got my hype,hateful
बांग्लादेशी कैंसर होते हैं.,hateful
Them queer ass shorts Rabchenko got on,hateful
ये दलित रद्दी के अलावा कुछ नहीं हैं.,hateful
सभी मुसलमान प्रतिकारक होते हैं.,hateful
@SAMMI_boyden well he's a cunt and he can suck my ass,hateful
यदि वे हिजड़े हैं तो उनके दिमाग पक्का खराब होंगे.,hateful
@kittty_jpg @SteeZeyFLOW @nosfiend215 at least im not black bitch your parents left you in the mcdonalds parking lot after you were born,hateful
मेरे विचार में उन प्रकार के दलितों को निष्पादित किया जाना चाहिए.,hateful
RT @Asshole_God: Hate fags? The answer's yes.,hateful
बांग्लादेशियों को जाके एक दुसरे की चुदाई करनी चाहिए.,hateful
किसी भी शक्ति वाले हिन्दू से हमारी सबयता को खतरा हैं.,hateful
मैं एक हिन्दू की जान बचाने के लिए कभी उंगली नहीं उठाऊंगा.,hateful
इतनी चुटिया हरकत तो कोई पाकिस्तानी ही कर सकता है.,hateful
RT @DestroTheNoble: I don't support that ya idiot. And if I'm a teabagger you're being teabagged. #OpenWide @nekolin @1SleepingGiant,hateful
ये हिन्दू हमारे देश के लिए कूड़े-करकट के सामान हैं.,hateful
समलैंगिक कैन्सरहोते हैं.,hateful
@TreyBizzy I thought you would like him cause of the Chi but yeah he a faggot,hateful
बांग्लादेशियों दिमागी रूप से कमज़ोरहोते  हैं.,hateful
@delaney_guinan a faggot that needs to grow up,hateful
अंग्रेज़ों सबसे बकवास होते हैं.,hateful
तुम जैसी महिलाएं मरने के लायक है.,hateful
तुम सब समलैंगिक बईमान हो.,hateful
हिन्दुओं दिमागी रूप से कमज़ोरहोते  हैं.,hateful
भले ही हिजड़े कभी-कभी अच्छी होती हैं फिर भी वे मानव कचरा के अलावा कुछ भी नहीं हैं.,hateful
You some type of special faggot if you bring chocolate Swishers to a smoke session.,hateful
सभी पाकिस्तानी प्रतिकारक होते हैं.,hateful
हमें हिन्दुओं से छुटकारा पाना चाहिए.,hateful
अगर ये किसी हिन्दू के दिमाग से आया है फिर तो टट्टी ही होगा.,hateful
"Hoes thnk they ""won"" when the nigga thats ridin the fence start givin them a lil attention... what u won hoe? A wishywashy ass nigga? Oh.",hateful
मुझे लगता है की किसी को उन हिन्दुओं के गले काट देने चाहिए.,hateful
मुझे तुम जैसे पाकिस्तानियों से नफरत है.,hateful
केवल निचली जात के लोग ही इतने क्रूर हो सकते हैं.,hateful
यदि तुम एक हिन्दू हो तो तुम शायद बेवकूफ हैं.,hateful
इन पाकिस्तानियों का जीवन टट्टी से भी बुरा है.,hateful
@asshole_king with pills that nig will last 4 years. Like magic j .That nig should hav died years ago. Y'all the first team to draft gay.,hateful
"@SoftestMuffin @_tee13 @TorahBlaze at the end of the day, they call yo dumb ass monkey, picka'nanny hoe. But u luv them white devils",hateful
किसी भी शक्तिशाली समलैंगिक से हमारी सभयता को खतरा हैं.,hateful
महिलाओं से बरुआ कुछ नहीं है.,hateful
White bus drivers are all white trash. #LosAngeles,hateful
तुम जैसे बांग्लादेशी ही हमारे समाज कोअशुध बनाते है.,hateful
बीमार निचली जात के लोगों को जानवरो के डॉक्टर के पास जाना चाहिए.,hateful
मैंने कभी ऐसा खाना नहीं खाऊंगा जो किसी दलित ने छुआ हो.,hateful
मेरे मान मैं  इन अंग्रेज़ों के लिए नफरत के अलावा कुछ नहीं है.,hateful
हिजड़ों का जीवन किसी के लिए भी महत्वपूर्ण नहीं होना चाहिए.,hateful
केवल निचली जात के लोग ही इतने हिं स क हो सकते हैं.,hateful
निश्चित ही वे मूर्ख हैं. आखिरकार वे हिन्दू हैं.,hateful
मुसलमान एक वायरस होते हैं.,hateful
Only retards retweet fuckry,hateful
किसी भी कीड़े का जीवन एक समलैंगिक की तुलना में अधिक मूल्यवान है.,hateful
हिजड़े सबसे बरुए होते हैं.,hateful
"@mike_ray7 congratulations, you are officially fucking retarded.",hateful
What's up faggots bet y'all thought you'd seen the last of me,hateful
#Virginia is full of white trash.,hateful
उनके जीवन मेरे लिए बेकार है क्योंकि वो बांग्लादेशी हैं.,hateful
RT @Sam_James3: @will123_william @haydenhill13 @aknadnrye @khalilreed I don't care tho cracker,hateful
जब समलैंगिक मुझसे बात करते हैं तो मैं उन्हें मारना चाहता हूँ.,hateful
तुन जैसे समलैंगिक चूहोंसे बढ़कर कुछ नहीं हो.,hateful
इन निचली जात के लोगों को जिन्दा रहने का कोइ अधिकार नहीं है.,hateful
सभी हिन्दू कबाधाएँ.,hateful
तुम जैसे सब बांग्लादेशी अपर्याप्त हैं.,hateful
केवल निचली जात के लोग ही इतने बेवक़ूफ़ हो सकते हैं.,hateful
अरे ये समलैंगिक कितने बड़े लोदु हैं.,hateful
किसी भी निचली जात के लोग के प्रभार होने से हमार देश को खतरा है.,hateful
RT @jjauthor: US ghettos-driven by liberal ideology; forged by unions &amp; bankrupted by self-serving Dems catering to parasites!#tcot http://&#8230;,hateful
RT @Meet_Nallah: &#8220;@mckenxcassie: Some of y'all hoes so worried about y'all eyebrows y'all forgot y'all had a mustache &#128514;&#128557;&#128557;&#8221; LMAO,hateful
Your acting like a spoiled little faggot have fun,hateful
महिलाओं से बुर1 कुछ नहीं है.,hateful
@Hunglikerobby_ that was so gay. And I was tanning bitch. Juvie made me white,hateful
क्या इससे यह स्पष्ट नहीं होता है की हिन्दू कचरा हैं?,hateful
एक और छक्के.,hateful
It stinks in here must be then pussy ass niggas talkin shit #tomyfacebro test me,hateful
ये महिलाऐं रद्दीके अलावा कुछ नहीं हैं.,hateful
"she pooted &#8220;@Not1FuckisGiven: Either Young Thug gay, or this bitch pooted https://t.co/g0FgRX7dju&#8221;",hateful
मई काफी बांग्लादेशियों से मिला हूँ और मैं उनमें से हर एक से नफरत करता हूँ.,hateful
मुझे सही में लगता है की मुसलमान हम सबसे काम हैं.,hateful
समलैंगिक ही सबसे मुख होते हैं.,hateful
@BraxCity29 @maria_obregon_g @sophia_freeman1 3/4 of a citizen. I said it for you maria you spic,hateful
@MorbidMermaid do you work today niglet?,hateful
तुम अँगरेज़ कचरेकेअलावा कुछ नहीं हो.,hateful
किसी भी अँगरेज़ के प्रभारी होने से हमारे देश को क ख त रा है.,hateful
निचली जात के लोग छोटे और नीचलोगोंमें आते हैं.,hateful
हम यहाँ दलितों के बारे में बात कर रहे हैं. वे हमेशा से ही इतने गांडू थे.,hateful
hope gezus gets shot in his faggot head #houston #nbombs,hateful
अगर और किसी भी अँगरेज़ को सरकार में शामिल किया तो देश बर्बाद हो जायेगा.,hateful
बांग्लादेशियों का कातिल करना हर किसी के हिट में है.,hateful
मेरे अंदर की समलैंगिक लोगो के लिए न फ र त को शब्दों में बताना मुश्किल है.,hateful
Punk ass broke faggots.,hateful
तुम महिलाएं समाज के ऊपर एक धब्बा हो.,hateful
समलैंगिक बिकुल नीच होते हैं.,hateful
हम यहाँ महिलाओं के बारे में बात कर रहे हैं. वे हमेशा से ही इतनी गांडू थी.,hateful
वे अँगरेज़ मानवीय दिख सकते हैं लेकिन वे हमारे समाज के लिए परजीवी हैं.,hateful
RT'in your own shit now pussy what a joke you'd end up just like all the rest no show chicken shit mother fucker,hateful
मैं अभी उस महिला की हत्या करने जा रहा हूँ.,hateful
"@salomanizor I'm a faggot :/

http://t.co/Gr627ldfaa",hateful
वो महिलाऐं नहीं बदलेंगी. उन्हें यहाँ से मिटा दो.,hateful
omg RT @SaddyBey: Fat bitch. What's her @? http://t.co/ptNszx6nid,hateful
लोग यह क्यों नहीं समझ पते हैं की निचली जात के लोगों का जीवन बिलकुल कुछ भी नहीं है?,hateful
मुसलमानों को लगता है की वे ख़ास हैं. मुझे उनसे नफ़रत है.,hateful
हिजड़ेइस धरती पर बिना किसी संदेह के सबसे बेवकफ हैं.,hateful
"It happens AGAIN!! Black pack beats ""whitey."" This should make national news. http://t.co/izKoA2Xb",hateful
RT @_CollegeHumor_: i fully support same-sex marriage but i'll never stop calling my friends faggots,hateful
सभी महिलाऐं कबाड़है .,hateful
बांग्लादेशियों कभी किसी और की तरह स्मार्ट नहीं हो सकते.,hateful
सभी बांग्लादेशी कबाड़ हैं.,hateful
कोइ भी पाकिस्तानी कभी भी समाज का मूल्यवान सदस्य नहीं हो सकता.,hateful
मुझे सब बांग्लादेशियों से गिहंण है.,hateful
@RabehChararah1 lmaoo what a fag,hateful
"The nations know who we are, but we rather be real niggers &amp; bad bitches. http://t.co/Ge6tNhxzAF",hateful
हिजड़ों को देखकर मुझे बहुत गुस्सा आता है.,hateful
अँगरेज़ हमारे ऊपर परजीवी हैं.,hateful
मै हिजड़ों का वि रो ध करता हूँ.,hateful
"which one of these names is more offensive kike, wop, kraut, wetback jigaboo, towelhead, gook, or redskin.",hateful
ऐसा क्यों है की सभी महिलाऐं अखंड चुटिया हैं?,hateful
"RT @DaTbOySmOkEyy: Shawty said you not gone understand america unless you went to a PWI school, crackers already brainwashed her smh lol",hateful
"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz",hateful
मुझे सब हिन्दुओं से घिन्न है.,hateful
What's so good about Prom? All I see is another faggot ass High School dance.,hateful
मै तुम जैसे मुसलमानों को दुनिया से ह टा दूंगा.,hateful
मैं सभी अंग्रेज़ों को मारना चाहता हूँ.,hateful
दलितों सबसे बबाकस होते हैं.,hateful
तुम जैसे निचली जात के लोग ही हमारे समाज को अशुद्ध बनाते है.,hateful
क्या यह सोचना गलत है की तुम जैसी महिलाओं को मार देना चाहिए?,hateful
मैं अभी उस निचली जात के व्यक्ति की हत्या करने जा रहा हूँ.,hateful
अरे ये दलित कितने बड़े लोदु हैं.,hateful
मै तुम जैसे अंग्रेज़ों को दुनिया से हट्1 दूंगा.,hateful
हिजड़े कचराहै .,hateful
यह सिर्फ तुम जैसे पाकी के लिए सामान्य है.,hateful
निचली जात के लोगों का जीवन मायने नहीं रखता.,hateful
वे सभी अखंड चुटिया हैं. कहने की जरूरत ही नहीं है की वे निचली जात के लोग हैं.,hateful
मुसलमान अपवित्रहोते हैं.,hateful
मैं अभी उस पाकिस्तानी की हत्या करने जा रहा हूँ.,hateful
सभी समलैंगिक हरामखोर होते हैं.,hateful
तुम हिन्दू हमेशा एक्टिंग करते रहते हो. असल में तुमसे बुरा कुछ भी नहीं है.,hateful
"Not All Straight Men - I am frustrated. Unlike on OKCupid, queer folks don&#8217;t have the ability to block... http://t.co/hBF2xZa0ke",hateful
इन महिलाओं को जिन्दा रहने का कोइ अधिकार नहीं है.,hateful
वे सिर्फ कुछ कंगालों का झुण्ड हैं.,hateful
इन चमारों के बिना आज हमारा देश कितनी ऊपर पहुंच चूका होता.,hateful
Fucking redneck queers and their game invites,hateful
केवल मुसलमान ही इतने बेवकफ हो सकते हैं.,hateful
बीमार दलितों को जानवरो के डॉक्टर के पास जाना चाहिए.,hateful
मुझे सब समलैंगिक लोगो से घिन्न है.,hateful
क्या यह स्पष्ट नहीं है की मुझे महिलाओं से नफरत है?,hateful
"@_Andrizzy_ aw drake is, do you sit in the corner and cry when you listen to him? lmfao, pussy dick rider, how drakes cock taste faggot.",hateful
एक न्यायपूर्ण दुनिया में आप जैसे बांग्लादेशी सभी मरते होंगे.,hateful
यह सिर्फ तुम जैसी रंडी के लिए सामान्य है.,hateful
मुसलमानों को देखकर मुझे बहुत गुस्सा आता है.,hateful
